[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:25 UTC] PHP Warning:  mysql_connect(): Access denied for user 'root'@'localhost' (using password: YES) in C:\xampp\htdocs\SCA\config.inc.php on line 8
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 106
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
